Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power
20230828_201000-201200,Rockfall,-4.21353817751798e-05,0.9885476335435894,-0.11776623288681785,0.17674281694046767,0.9885476344415687,2.9506835090966668,2931.679276680064,62,0.8333333333333334,0.9415692429973533,3.2194453966612455,160.0,0.29,0.7280170265419974
20230905_205830-210030,Rockfall,0.0020521378000952525,1.1105871540547478,-0.0217126587427373,0.7745156683705474,1.1105890500184912,3.858015567841524,3700.224114062925,68,0.9333333333333333,1.062206739272084,4.143830087487487,346.0,0.8899999999999999,0.6266506972531681
20230824_202800-203000,Rockfall,0.0025635050065805592,0.8628756569987759,0.06181840508922605,0.25378953861953013,0.8628794649306402,2.7765388435644955,2233.6829129969638,62,1.0,1.0336815135417137,4.068444900392318,356.0,0.9499999999999998,0.5480750065711502
20230905_203900-204100,Rockfall,-0.0013470253017148128,0.6888153714415644,-0.0037692596215020313,0.2274648487154396,0.6888166885400961,2.115575901650609,1423.4052912340314,56,0.9,0.943467594724172,3.74784987324433,160.0,0.7899999999999999,0.4535108597692965
20230901_010100-010300,Rockfall,-0.0009648539208025942,0.721316772887031,0.05874758897831577,-0.22593466074708468,0.7213174181948258,2.1410713018528,1560.8964533737476,70,0.8,1.1105099776072556,4.364859095357423,46.0,0.10999999999999999,0.4578594397869424
20230825_153140-153340,Rockfall,0.003741206351374577,0.9392744174568832,0.006615047668885962,0.5732051553941413,0.9392818681918281,3.262779444990226,2646.7512837417926,66,0.9333333333333333,1.0620723945933845,3.730224769071557,356.0,1.2499999999999998,0.6055318493630671
20230816_000100-000300,Rockfall,0.0005244858856861837,0.8842780577511525,-0.047120876384303734,0.046743444753799324,0.8842782132935285,2.768380030677438,2345.8438755167854,74,1.0,1.0910557038954918,4.402074673426723,260.0,0.26999999999999996,0.6779055451799962
20230907_104600-104800,Rockfall,-0.00546146920155244,0.8994943312626141,0.05681092441587152,-0.08340163916925691,0.8995109113398329,2.572466594031394,2427.35963885825,72,0.9,1.1043664663169919,4.238910843832398,358.0,1.3099999999999998,0.4916784825737858
20230820_133120-133320,Rockfall,0.0005796100415841489,1.0303893593098241,-0.02319388438668529,-0.13979852623198097,1.030389522329643,2.900235863028569,3185.1077031801306,58,0.8333333333333334,0.9871975471401779,4.041689112058456,150.0,0.049999999999999996,0.7073150903195602
20230828_203340-203540,Rockfall,-0.0066157710767770755,1.072455979479101,0.03157897840911547,0.6877437553104504,1.0724763849835661,3.5099077635842777,3450.616789042255,54,1.0,0.948263265986843,3.364477556501922,182.0,0.12999999999999998,0.7330070558533092
20230911_131320-131520,Rockfall,-0.003211961286746141,0.9954554203527488,-0.01995003152995101,1.2495465083579749,0.9954606022364598,3.7600566089909173,2972.8254318149257,68,0.9333333333333333,1.0961536369835736,3.92200665535468,358.0,1.2499999999999998,0.5115182507595042
20230908_232830-233030,Rockfall,-0.0030664962790402537,1.3709928947187373,0.11445695323736507,8.757330528730577,1.3709963241266157,7.651838690836509,5638.892762306077,62,0.9333333333333333,1.0508287622857349,4.0328780032640825,206.0,0.14999999999999997,0.8289316576630695
20230827_034400-034600,Rockfall,0.001705955202976644,0.7221223177149478,0.0881464689959525,0.15152199344097328,0.722124332802297,2.0756683123682356,1564.390656075488,88,0.9,0.9769462728181988,3.803656163396455,168.0,0.7699999999999999,0.4768639191351658
20230824_133740-133940,Rockfall,-0.0028164989540444053,0.9945608224422192,-0.04278623564783498,0.8800395407289132,0.9945648104589774,3.238130301350087,2967.477486609905,56,0.8666666666666667,0.9177736428213594,3.2538629162324075,178.0,0.44999999999999996,0.6358458326176064
20230902_182040-182240,Rockfall,-0.004878461640607967,0.8986598486455106,-0.008165459657901521,0.34349867179750904,0.8986730901476637,2.8785124473309773,2422.8399688666527,70,1.0333333333333332,1.1172070932536842,4.118733113634585,352.0,1.2699999999999998,0.4629179500337052
20230904_115740-115940,Rockfall,0.002466853970587991,1.1107288697071758,-0.009798067473123619,0.8171206029472886,1.1107316090620147,3.7907115058266556,3701.1741221084776,70,1.0333333333333332,1.076223593612287,3.7819547198677994,356.0,1.2699999999999998,0.6442540234272275
20230903_083710-083910,Rockfall,-0.0020005670921040986,0.8551492719942226,-0.029159588005716365,1.3085188112207033,0.8551516120904754,2.971025109984475,2193.852838982817,68,1.0333333333333332,1.0653786206259288,3.85038677381933,6.0,1.1099999999999999,0.5198145256642502
